index,asset,arith_10yr,geom_10yr,arith_20yr,geom_20yr,std_dev
1,US Equity - Large Cap,0.076700,0.063900,0.082900,0.070000,0.165400
2,US Equity - Small/Mid Cap,0.088700,0.069200,0.093500,0.073800,0.204400
3,Non-US Equity - Developed,0.085800,0.070300,0.089600,0.073500,0.182000
4,Non-US Equity - Emerging,0.099600,0.073800,0.106300,0.079100,0.234300
5,US Corporate Bonds - Core,0.051900,0.050000,0.052800,0.051000,0.062200
6,US Corporate Bonds - Long Duration,0.056100,0.050400,0.058000,0.052800,0.107400
7,US Corporate Bonds - High Yield,0.064400,0.059700,0.068200,0.063300,0.097700
8,Non-US Debt - Developed,0.041900,0.038900,0.042900,0.039900,0.074800
9,Non-US Debt - Emerging,0.065700,0.060300,0.068700,0.063000,0.106200
10,US Treasuries (Cash Equivalents),0.036000,0.035800,0.036100,0.035900,0.014700
11,TIPS (Inflation-Protected),0.046300,0.044400,0.046100,0.044100,0.060400
12,Real Estate,0.075200,0.062100,0.075900,0.063800,0.162400
13,Hedge Funds,0.062500,0.059200,0.065700,0.062400,0.079700
14,Commodities,0.062000,0.046700,0.063700,0.047600,0.178300
15,Infrastructure,0.083000,0.072200,0.086500,0.075200,0.148600
16,Private Equity,0.115100,0.091300,0.121400,0.096300,0.221800
17,Private Debt,0.085800,0.079100,0.087100,0.080800,0.117500
18,Inflation,0.023900,0.023800,0.024100,0.024000,0.019000
