Year,AllREITs_TR,AllREITs_PriceReturn,AllREITs_IncomeReturn,AllREITs_DivYield,AllEquityREITs_TR,AllEquityREITs_PriceReturn,AllEquityREITs_IncomeReturn,AllEquityREITs_DivYield,EquityREITs_TR,EquityREITs_PriceReturn,EquityREITs_IncomeReturn,EquityREITs_DivYield,MortgageREITs_TR,MortgageREITs_PriceReturn,MortgageREITs_IncomeReturn,MortgageREITs_DivYield
1972,0.111925,0.038437,0.071153,0.0726,0.080103,0.010806,0.068802,0.0692,0.080103,0.010806,0.068802,0.0692,0.121697,0.043444,0.074703,0.0736
1973,-0.272167,-0.33107,0.086632,0.1138,-0.155192,-0.217794,0.080108,0.096,-0.155192,-0.217794,0.080108,0.096,-0.362583,-0.420485,0.096349,0.137
1974,-0.422316,-0.495537,0.138294,0.1646,-0.21403,-0.293262,0.109627,0.1291,-0.21403,-0.293262,0.109627,0.1291,-0.453249,-0.539627,0.176342,0.209
1975,0.363367,0.222045,0.119579,0.1121,0.192995,0.083386,0.102382,0.1065,0.192995,0.083386,0.102382,0.1065,0.407851,0.245073,0.136055,0.1286
1976,0.489737,0.365339,0.094282,0.0742,0.475887,0.362099,0.08626,0.074,0.475887,0.362099,0.08626,0.074,0.517137,0.384108,0.098897,0.0772
1977,0.190765,0.101004,0.082082,0.0792,0.224242,0.139716,0.074968,0.0757,0.224242,0.139716,0.074968,0.0757,0.178244,0.081576,0.089324,0.0866
1978,-0.016405,-0.094197,0.08473,0.0954,0.103355,0.026591,0.074789,0.0804,0.103355,0.026591,0.074789,0.0804,-0.099694,-0.178559,0.094108,0.1141
1979,0.30526,0.193479,0.09448,0.0915,0.358576,0.254862,0.083465,0.0766,0.358576,0.254862,0.083465,0.0766,0.165629,0.042558,0.118174,0.1243
1980,0.280195,0.110717,0.155485,0.0915,0.243691,0.019456,0.21159,0.0772,0.243691,0.019456,0.21159,0.0772,0.167978,0.032907,0.132137,0.1329
1981,0.085756,-0.010207,0.097025,0.1,0.060008,-0.020295,0.081937,0.0862,0.060008,-0.020295,0.081937,0.0862,0.070707,-0.055425,0.132949,0.1417
1982,0.31644,0.191886,0.10644,0.0902,0.216009,0.114867,0.091773,0.0783,0.216009,0.114867,0.091773,0.0783,0.486433,0.312676,0.136572,0.1097
1983,0.254689,0.151091,0.091095,0.0854,0.306362,0.210069,0.081006,0.0719,0.306362,0.210069,0.081006,0.0719,0.168966,0.055614,0.107898,0.1058
1984,0.148153,0.035261,0.109777,0.0905,0.209273,0.093005,0.10802,0.0706,0.209273,0.093005,0.10802,0.0706,0.072645,-0.045396,0.12326,0.1147
1985,0.059199,-0.035189,0.097879,0.0962,0.190964,0.096197,0.087538,0.0789,0.190964,0.096197,0.087538,0.0789,-0.052045,-0.153344,0.117497,0.1157
1986,0.191758,0.092439,0.091607,0.0859,0.191577,0.105639,0.078391,0.0765,0.191577,0.105639,0.078391,0.0765,0.192144,0.076376,0.108638,0.0931
1987,-0.106686,-0.190072,0.101158,0.1097,-0.036398,-0.103074,0.073604,0.0873,-0.036398,-0.103074,0.073604,0.0873,-0.156669,-0.257007,0.132241,0.1349
1988,0.113554,0.012414,0.100075,0.1003,0.134854,0.047696,0.083666,0.0857,0.134854,0.047696,0.083666,0.0857,0.073032,-0.051179,0.130226,0.1319
1989,-0.018136,-0.120642,0.115118,0.1019,0.088422,0.005788,0.082206,0.0842,0.088422,0.005788,0.082206,0.0842,-0.159043,-0.261861,0.135655,0.1356
1990,-0.173451,-0.284936,0.151161,0.1134,-0.153517,-0.264546,0.146223,0.1015,-0.153517,-0.264546,0.146223,0.1015,-0.183679,-0.291801,0.148123,0.1348
1991,0.356791,0.230957,0.104124,0.0919,0.356962,0.254727,0.08326,0.0785,0.356962,0.254727,0.08326,0.0785,0.318339,0.139285,0.157119,0.1349
1992,0.121754,0.02865,0.090704,0.0788,0.145896,0.064024,0.077309,0.071,0.145896,0.064024,0.077309,0.071,0.019184,-0.108018,0.141252,0.1121
1993,0.185472,0.105836,0.072596,0.0729,0.196545,0.129513,0.059956,0.0681,0.196545,0.129513,0.059956,0.0681,0.145489,-0.004017,0.148893,0.1089
1994,0.008055,-0.064136,0.076685,0.0804,0.031707,-0.03516,0.068964,0.0767,0.031707,-0.03516,0.068964,0.0767,-0.243023,-0.338289,0.13697,0.1352
1995,0.18309,0.091229,0.084624,0.0749,0.152669,0.065578,0.081847,0.0737,0.152669,0.065578,0.081847,0.0737,0.634177,0.467979,0.114619,0.0902
1996,0.357536,0.265225,0.074379,0.0622,0.352667,0.263472,0.071941,0.0605,0.352667,0.263472,0.071941,0.0605,0.508638,0.372114,0.101884,0.085
1997,0.188609,0.118474,0.062952,0.0573,0.202602,0.133313,0.061345,0.0548,0.202602,0.133313,0.061345,0.0548,0.038232,-0.035745,0.075059,0.0941
1998,-0.188227,-0.238222,0.06379,0.0781,-0.175022,-0.223299,0.06041,0.0747,-0.175022,-0.223299,0.06041,0.0747,-0.292185,-0.342875,0.075152,0.1049
1999,-0.064759,-0.140631,0.087137,0.0898,-0.0462,-0.122144,0.085492,0.087,-0.0462,-0.122144,0.085492,0.087,-0.332175,-0.401198,0.111187,0.1353
2000,0.258902,0.159073,0.087719,0.07706,0.263654,0.165083,0.086156,0.07523,0.263654,0.165083,0.086156,0.07523,0.159606,0.033346,0.123561,0.113134
2001,0.15502,0.070478,0.079442,0.07384,0.139329,0.058489,0.076798,0.07143,0.139329,0.058489,0.076798,0.07143,0.77343,0.46372,0.214674,0.142847
2002,0.052156,-0.021462,0.076703,0.07324,0.038208,-0.031166,0.071734,0.070493,0.038208,-0.031166,0.071734,0.070493,0.310755,0.142301,0.150141,0.12343
2003,0.384663,0.293367,0.072215,0.057469,0.371337,0.284786,0.068887,0.055181,0.371337,0.284786,0.068887,0.055181,0.573897,0.381943,0.143002,0.085701
2004,0.304095,0.228695,0.062735,0.049737,0.315775,0.243514,0.059492,0.046559,0.315775,0.243514,0.059492,0.046559,0.18433,0.079162,0.098652,0.081512
2005,0.082882,0.025092,0.056596,0.050592,0.121628,0.066745,0.051801,0.045669,0.121628,0.066745,0.051801,0.045669,-0.231876,-0.308756,0.108257,0.106817
2006,0.343514,0.283065,0.04805,0.0406,0.350607,0.295061,0.043771,0.0369,0.350607,0.295061,0.043771,0.0369,0.19324,0.084356,0.101535,0.0919
2007,-0.178313,-0.213872,0.044159,0.0529,-0.156917,-0.190514,0.04064,0.0491,-0.156917,-0.190514,0.04064,0.0491,-0.42349,-0.476891,0.099087,0.1052
2008,-0.373357,-0.410393,0.061306,0.0837,-0.377276,-0.411179,0.05594,0.0756,-0.377276,-0.411179,0.05594,0.0756,-0.313094,-0.404618,0.141809,0.1447
2009,0.274474,0.198978,0.06462,0.0463,0.279902,0.212779,0.05651,0.0373,0.279902,0.212779,0.05651,0.0373,0.246299,0.082631,0.153543,0.1486
2010,0.275802,0.218073,0.048324,0.0423,0.27947,0.230669,0.040363,0.0354,0.279605,0.230612,0.040528,0.0358,0.225964,0.070093,0.145551,0.1303
2011,0.072775,0.023662,0.047375,0.0483,0.082837,0.04316,0.037777,0.0382,0.082931,0.043186,0.037869,0.0383,-0.024156,-0.151383,0.143537,0.1482
2012,0.201447,0.149815,0.045616,0.0438,0.197008,0.156126,0.035838,0.0351,0.180598,0.138555,0.037407,0.037,0.19887,0.058319,0.131002,0.1293
2013,0.032086,-0.011544,0.044118,0.0443,0.028557,-0.007961,0.036718,0.0391,0.024673,-0.013316,0.038388,0.0409,-0.0196,-0.124238,0.118663,0.1031
2014,0.271474,0.21932,0.042979,0.04,0.280276,0.234403,0.037506,0.0356,0.30139,0.252458,0.039452,0.0365,0.178825,0.063031,0.105565,0.1066
2015,0.022897,-0.019501,0.042982,0.043,0.028252,-0.009841,0.038253,0.0385,0.031962,-0.006849,0.038925,0.0392,-0.088761,-0.184815,0.113102,0.1215
2016,0.092828,0.049657,0.042012,0.0432,0.086292,0.047654,0.037612,0.0396,0.085187,0.046292,0.037856,0.0401,0.228497,0.099985,0.117812,0.106
2017,0.092673,0.047687,0.042903,0.0427,0.086739,0.045236,0.039686,0.0394,0.05226,0.010374,0.041388,0.0415,0.197888,0.087256,0.102115,0.0983
2018,-0.041006,-0.083384,0.0458,0.048,-0.040445,-0.079483,0.042058,0.0437,-0.046227,-0.087188,0.044491,0.0463,-0.025232,-0.123015,0.109532,0.1148
2019,0.280686,0.229537,0.042234,0.0406,0.286629,0.239491,0.038627,0.037,0.259988,0.210678,0.041279,0.0397,0.213309,0.096202,0.108936,0.0977
2020,-0.058606,-0.09381,0.037506,0.0384,-0.051216,-0.084015,0.034693,0.0356,-0.080007,-0.115202,0.038274,0.0386,-0.187675,-0.267677,0.099791,0.0899
2021,0.398777,0.355673,0.032616,0.0285,0.412984,0.372934,0.029951,0.0259,0.432361,0.389752,0.031415,0.0272,0.156354,0.063983,0.086999,0.0891
2022,-0.251044,-0.278701,0.036603,0.0437,-0.249484,-0.274623,0.033167,0.0397,-0.243652,-0.270226,0.034808,0.0415,-0.266103,-0.347597,0.113625,0.1343
2023,0.114829,0.065018,0.047068,0.0425,0.113563,0.067507,0.043432,0.0392,0.137312,0.089565,0.044147,0.0402,0.153478,0.019075,0.131083,0.1152
2024,0.043327,0.00032,0.042769,0.0429,0.049223,0.009235,0.039447,0.0396,0.08734,0.045546,0.040009,0.0394,0.003583,-0.110506,0.126476,0.1265
