Year,all_reits,all_equity_reits,equity_reits,mortgage_reits
1972,0.11192462,0.08010262,0.08010262,0.12169675
1973,-0.2721666,-0.15519155,-0.15519155,-0.36258299
1974,-0.42231649,-0.21403027,-0.21403027,-0.45324875
1975,0.36336672,0.19299492,0.19299492,0.40785135
1976,0.48973734,0.47588652,0.47588652,0.51713672
1977,0.19076485,0.22424232,0.22424232,0.1782439
1978,-0.01640524,0.10335524,0.10335524,-0.09969399
1979,0.3052604,0.35857555,0.35857555,0.16562944
1980,0.28019457,0.24369127,0.24369127,0.1679782
1981,0.08575635,0.06000809,0.06000809,0.07070742
1982,0.31643965,0.21600902,0.21600902,0.4864326
1983,0.25468867,0.3063625,0.3063625,0.16896557
1984,0.1481532,0.20927276,0.20927276,0.07264499
1985,0.05919926,0.19096353,0.19096353,-0.0520446
1986,0.19175849,0.19157726,0.19157726,0.1921441
1987,-0.10668557,-0.03639835,-0.03639835,-0.15666881
1988,0.11355412,0.13485429,0.13485429,0.07303244
1989,-0.01813568,0.0884222,0.0884222,-0.15904273
1990,-0.17345067,-0.15351732,-0.15351732,-0.18367942
1991,0.35679075,0.35696197,0.35696197,0.31833852
1992,0.12175408,0.14589616,0.14589616,0.01918371
1993,0.18547159,0.1965453,0.1965453,0.14548899
1994,0.00805543,0.03170715,0.03170715,-0.24302291
1995,0.18308996,0.15266883,0.15266883,0.63417712
1996,0.35753551,0.35266667,0.35266667,0.50863782
1997,0.18860903,0.20260191,0.20260191,0.0382322
1998,-0.18822689,-0.17502195,-0.17502195,-0.29218468
1999,-0.06475945,-0.04619983,-0.04619983,-0.33217468
2000,0.25890212,0.26365373,0.26365373,0.15960556
2001,0.15502022,0.13932909,0.13932909,0.77342955
2002,0.05215571,0.03820789,0.03820789,0.3107548
2003,0.38466345,0.37133707,0.37133707,0.57389746
2004,0.30409506,0.31577496,0.31577496,0.18433035
2005,0.08288161,0.12162835,0.12162835,-0.23187621
2006,0.34351183,0.35060684,0.35060684,0.19324637
2007,-0.17831287,-0.15691742,-0.15691742,-0.42349007
2008,-0.37335734,-0.37727638,-0.37727638,-0.3130941
2009,0.27447391,0.27990204,0.27990204,0.2462987
2010,0.27580179,0.27946966,0.27960454,0.22596435
2011,0.07277479,0.08283719,0.08293146,-0.02415648
2012,0.20144666,0.19700809,0.18059776,0.19886961
2013,0.032086,0.02855736,0.02467268,-0.01960043
2014,0.2714739,0.28027587,0.30139035,0.17882506
2015,0.02289661,0.02825237,0.0319621,-0.08876094
2016,0.09282801,0.08629229,0.0851872,0.22849692
2017,0.09267282,0.08673911,0.0522594,0.19788789
2018,-0.04100565,-0.04044549,-0.04622646,-0.02523147
2019,0.28068592,0.28662888,0.25998817,0.21330838
2020,-0.05860555,-0.05121558,-0.08000662,-0.18767497
2021,0.39877735,0.41298365,0.4323608,0.15635476
2022,-0.25104373,-0.24948452,-0.24365214,-0.26610254
2023,0.11482843,0.11356245,0.13731169,0.15347848
2024,0.04332664,0.04922273,0.08734013,0.00358275
